country_file;total_population;weighted_lat;weighted_lon
abw_pop_2016_CN_1km_R2024B_UA_v1.tif;104584.9997;12.516051106766129;-69.996600789857112
afg_pop_2016_CN_1km_R2024B_UA_v1.tif;34227140.9985;34.604951276079518;67.552918188229100
ago_pop_2016_CN_1km_R2024B_UA_v1.tif;28660016.0106;-10.830276146341914;14.951277649731583
aia_pop_2016_CN_1km_R2024B_UA_v1.tif;14385.0000;18.217204116671443;-63.063564744897043
ala_pop_2016_CN_1km_R2024B_UA_v1.tif;29633.8864;60.163667632709341;20.007667008172145
alb_pop_2016_CN_1km_R2024B_UA_v1.tif;2895893.9962;41.190945399949342;19.861270596552991
and_pop_2016_CN_1km_R2024B_UA_v1.tif;71363.9999;42.521641102087884;1.533995500333506
are_pop_2016_CN_1km_R2024B_UA_v1.tif;8889230.9996;24.890799945293047;55.258644803856711
arg_pop_2016_CN_1km_R2024B_UA_v1.tif;43701821.0197;-32.910949635264771;-61.342301272464773
arm_pop_2016_CN_1km_R2024B_UA_v1.tif;2920132.9998;40.283130222507168;44.576549439275752
asm_pop_2016_CN_1km_R2024B_UA_v1.tif;52571.0000;-14.307062947630689;-170.700888667631318
atg_pop_2016_CN_1km_R2024B_UA_v1.tif;89718.9998;17.118171308049448;-61.822401852293325
aus_pop_2016_CN_1km_R2024B_UA_v1.tif;24127745.9974;-32.940602149852651;144.777839733112813
aut_pop_2016_CN_1km_R2024B_UA_v1.tif;8701772.9992;47.785113079170934;14.686285122570487
aze_pop_2016_CN_1km_R2024B_UA_v1.tif;9812158.0012;40.317152089361578;48.247572458115776
bdi_pop_2016_CN_1km_R2024B_UA_v1.tif;11114902.9947;-3.252463151075047;29.826048500859688
bel_pop_2016_CN_1km_R2024B_UA_v1.tif;11312276.9990;50.848464925778543;4.422383141838067
ben_pop_2016_CN_1km_R2024B_UA_v1.tif;11527647.0054;8.350805399654536;2.301833229363155
bes_pop_2016_CN_1km_R2024B_UA_v1.tif;24592.9998;13.401525921710840;-67.089034575811979
bfa_pop_2016_CN_1km_R2024B_UA_v1.tif;19052902.0042;12.260457137171750;-1.889267993248054
bgd_pop_2016_CN_1km_R2024B_UA_v1.tif;160093290.9641;23.934697368490472;90.220859359516211
bgr_pop_2016_CN_1km_R2024B_UA_v1.tif;7153347.0045;42.735737841899798;25.019323766640763
bhr_pop_2016_CN_1km_R2024B_UA_v1.tif;1397145.9994;26.187242261826537;50.558138208968764
bhs_pop_2016_CN_1km_R2024B_UA_v1.tif;386767.9998;25.261607252180220;-77.442819674381127
bih_pop_2016_CN_1km_R2024B_UA_v1.tif;3495596.9983;44.330107037817591;17.912865676940129
blm_pop_2016_CN_1km_R2024B_UA_v1.tif;9665.9999;17.909403649530745;-62.837355320128594
blr_pop_2016_CN_1km_R2024B_UA_v1.tif;9495941.0008;53.537807503357840;27.819484854738832
blz_pop_2016_CN_1km_R2024B_UA_v1.tif;360085.0004;17.428454750661469;-88.572972158460928
bmu_pop_2016_CN_1km_R2024B_UA_v1.tif;63428.9999;32.304521159386496;-64.782317435066389
bol_pop_2016_CN_1km_R2024B_UA_v1.tif;11097522.0028;-17.545466397679920;-65.627048935104128
bra_pop_2016_CN_1km_R2024B_UA_v1.tif;202459865.0053;-17.013081184022649;-45.769237341016847
brb_pop_2016_CN_1km_R2024B_UA_v1.tif;279301.9999;13.143587221644420;-59.572323586689294
brn_pop_2016_CN_1km_R2024B_UA_v1.tif;424920.0001;4.854961135939693;114.802602893067672
btn_pop_2016_CN_1km_R2024B_UA_v1.tif;744227.0004;27.232902376477725;90.188320768040271
bwa_pop_2016_CN_1km_R2024B_UA_v1.tif;2218925.0009;-23.069154214536272;25.803451760433884
caf_pop_2016_CN_1km_R2024B_UA_v1.tif;4668756.9989;5.437539376107661;18.416292503201536
can_pop_2016_CN_1km_R2024B_UA_v1.tif;36132316.9897;46.890143139056299;-88.121457347340979
che_pop_2016_CN_1km_R2024B_UA_v1.tif;8328614.0035;47.027127552021874;7.949048964063675
chl_pop_2016_CN_1km_R2024B_UA_v1.tif;18139016.0110;-34.032510406733984;-71.336269463414396
chn_pop_2016_CN_1km_R2024B_UA_v1.tif;1399808850.9284;32.207404231634328;113.638025253998379
civ_pop_2016_CN_1km_R2024B_UA_v1.tif;25612303.0004;6.683012672607086;-5.321506673614205
cmr_pop_2016_CN_1km_R2024B_UA_v1.tif;23109005.9900;6.347914040007264;11.875859380247382
cod_pop_2016_CN_1km_R2024B_UA_v1.tif;82359192.9854;-3.384861269520884;23.102528194854010
cog_pop_2016_CN_1km_R2024B_UA_v1.tif;5159245.0024;-3.457868000222939;14.323269494737344
cok_pop_2016_CN_1km_R2024B_UA_v1.tif;17398.0001;-20.415716746320118;-159.472417205217567
col_pop_2016_CN_1km_R2024B_UA_v1.tif;47172760.0128;6.005366720140717;-74.871178866441255
com_pop_2016_CN_1km_R2024B_UA_v1.tif;734253.9998;-11.952613522818156;43.762881175263345
cpv_pop_2016_CN_1km_R2024B_UA_v1.tif;512441.0001;15.647808422154602;-23.950953714575487
cri_pop_2016_CN_1km_R2024B_UA_v1.tif;4843387.9999;9.972017209845653;-84.152793814845623
cub_pop_2016_CN_1km_R2024B_UA_v1.tif;11272850.9970;21.815999797106237;-79.385692896527232
cuw_pop_2016_CN_1km_R2024B_UA_v1.tif;167316.0004;12.150157066575780;-68.928763431672323
cxr_pop_2016_CN_1km_R2024B_UA_v1.tif;2031.9205;-10.434475941601566;105.641050085805475
